City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Talcahuano,CL,2022-09-30 18:05:41,-36.7167,-73.1167,60.48,67,0,11.5
159,Puerto Escondido,MX,2022-09-30 18:05:42,15.85,-97.0667,86.83,54,40,9.22
160,Narsaq,GL,2022-09-30 18:05:43,60.9167,-46.05,41.22,70,93,2.93
161,Lazaro Cardenas,MX,2022-09-30 18:03:30,17.9583,-102.2,85.08,70,53,3.83
162,Buala,SB,2022-09-30 18:05:43,-8.145,159.5921,79.7,83,21,7.67
163,Ranong,TH,2022-09-30 18:05:44,9.9658,98.6348,78.76,87,83,12.24
164,Kayasula,RU,2022-09-30 18:05:44,44.325,45.0,71.78,52,16,9.8
165,Khromtau,KZ,2022-09-30 18:05:45,50.2503,58.4347,39.97,46,100,12.91
166,Nikolskoye,RU,2022-09-30 18:05:08,59.7035,30.7861,46.8,96,89,5.73
167,Slave Lake,CA,2022-09-30 18:05:45,55.2834,-114.769,58.87,71,95,5.06
168,Makakilo City,US,2022-09-30 18:05:46,21.3469,-158.0858,80.92,72,0,9.22
169,Ruwi,OM,2022-09-30 18:05:46,23.5996,58.5507,84.45,66,0,4.56
170,Port Macquarie,AU,2022-09-30 18:05:47,-31.4333,152.9167,57.88,100,100,14.97
171,Yakeshi,CN,2022-09-30 18:05:47,49.2833,120.7333,33.94,91,86,3.51
172,Kununurra,AU,2022-09-30 18:05:47,-15.7667,128.7333,75.18,88,75,3.44
173,Sabha,LY,2022-09-30 18:05:48,27.0377,14.4283,94.01,10,0,8.93
174,Constitucion,CL,2022-09-30 18:05:49,-35.3333,-72.4167,61.3,72,91,8.79
175,Muriti,TZ,2022-09-30 18:05:49,-1.9833,32.9167,75.56,64,79,6.04
176,Mercedes,AR,2022-09-30 18:05:50,-34.6515,-59.4307,71.04,28,4,7.65
177,Bure,ET,2022-09-30 18:05:50,10.7,37.0667,55.42,94,58,3.65
178,Sistranda,NO,2022-09-30 18:05:51,63.7256,8.834,53.56,67,90,23.35
179,Yulara,AU,2022-09-30 18:05:51,-25.2406,130.9889,67.6,30,100,11.25
180,Leningradskiy,RU,2022-09-30 18:05:51,69.3833,178.4167,23.77,79,100,9.4
181,Ca Mau,VN,2022-09-30 18:03:43,9.1769,105.15,76.8,90,71,3.58
182,Sterling,US,2022-09-30 18:01:07,39.0062,-77.4286,61.39,76,0,11.5
183,Kinatakutan,PH,2022-09-30 18:06:52,13.9525,122.4758,74.95,93,6,2.8
184,Shingu,JP,2022-09-30 18:06:52,33.7333,135.9833,67.06,83,2,6.13
185,Puerto Leguizamo,CO,2022-09-30 18:06:54,-0.1934,-74.7819,96.12,37,78,2.77
186,Avera,US,2022-09-30 18:06:54,33.194,-82.5271,68.38,61,99,19.22
187,Pacific Grove,US,2022-09-30 18:06:55,36.6177,-121.9166,76.39,87,20,5.99
188,Honiara,SB,2022-09-30 18:06:55,-9.4333,159.95,76.14,89,16,4.88
189,Chokurdakh,RU,2022-09-30 18:06:56,70.6333,147.9167,19.67,88,75,4.88
190,Asyut,EG,2022-09-30 18:06:56,27.181,31.1837,96.35,16,0,18.84
191,Adrar,MR,2022-09-30 18:06:56,20.5022,-10.0711,88.99,20,0,15.55
192,Riviere-Au-Renard,CA,2022-09-30 18:06:57,48.9957,-64.3971,55.96,61,13,5.66
193,Chuy,UY,2022-09-30 18:06:57,-33.6971,-53.4616,60.08,68,95,7.58
194,Kaka,TM,2022-09-30 18:06:58,37.3482,59.6143,73.87,22,0,1.66
195,Tokur,RU,2022-09-30 18:06:58,53.1333,132.9,23.22,96,92,1.45
196,Luena,AO,2022-09-30 18:06:59,-11.7833,19.9167,71.78,45,76,3.13
197,Westport,US,2022-09-30 18:04:54,41.1415,-73.3579,64.85,60,0,10.0
198,Ereymentau,KZ,2022-09-30 18:06:59,51.6199,73.1033,28.08,56,27,3.29
199,Severo-Kurilsk,RU,2022-09-30 18:06:59,50.6789,156.125,50.85,94,99,14.63
200,Saint-Philippe,RE,2022-09-30 18:07:00,-21.3585,55.7679,69.39,82,41,10.63
201,La Paz,BO,2022-09-30 18:06:52,-16.5,-68.15,62.58,36,75,10.36
202,San Cristobal,VE,2022-09-30 18:04:49,7.7669,-72.225,75.38,47,99,5.28
203,Nanortalik,GL,2022-09-30 18:07:00,60.1432,-45.2371,39.11,77,38,9.08
