City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Beyneu,KZ,45.3167,55.2,57.58,29,5,20.6,clear sky
142,Rorvik,NO,64.8621,11.2373,53.58,93,75,2.3,broken clouds
143,Shahrud,IR,36.4182,54.9763,61.99,60,16,5.66,few clouds
144,Mustafakemalpasa,TR,40.0353,28.4117,71.65,51,66,5.23,broken clouds
145,Saveh,IR,35.0213,50.3566,75.97,33,0,5.99,clear sky
146,Balykshi,KZ,47.0667,51.8667,66.2,24,0,17.9,clear sky
147,Carballo,ES,43.213,-8.691,77.07,79,92,4.99,overcast clouds
148,Ostrovskoye,RU,57.8057,42.2433,50.29,87,100,6.33,overcast clouds
149,Bridlington,GB,54.0831,-0.1919,62.53,67,10,7.18,clear sky
150,Nyrob,RU,60.733,56.7202,48.9,73,100,12.28,overcast clouds
151,Gravdal,NO,68.1214,13.5031,48.09,87,75,3.44,light rain
152,Maragheh,IR,37.3917,46.2398,64.67,26,0,4.61,clear sky
153,Sisian,AM,39.5256,46.0251,53.8,52,1,2.46,clear sky
154,Beisfjord,NO,68.3751,17.5988,46.45,86,75,1.63,broken clouds
155,Rjukan,NO,59.8789,8.5941,51.44,80,33,7.58,scattered clouds
156,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,94,75,23.62,light rain
157,Kungur,RU,57.4368,56.9593,50.95,51,100,15.19,light rain
158,Koslan,RU,63.4564,48.8989,43.09,99,100,5.08,moderate rain
159,Gamovo,RU,57.8652,56.1056,53.22,62,40,11.18,light intensity shower rain
160,Kez,RU,57.8979,53.7152,47.5,93,100,13.38,light rain
161,Ayios Ioannis,CY,34.8959,33.0204,72.41,39,10,2.84,clear sky
162,Iskateley,RU,67.6803,53.1512,40.6,94,100,4.32,overcast clouds
163,Nikolsk,RU,53.7189,46.0712,61.16,92,99,11.39,overcast clouds
164,Hendaye,FR,43.3717,-1.7738,69.75,75,0,3.44,clear sky
165,Vietri Sul Mare,IT,40.6687,14.7253,72.84,83,59,4.16,broken clouds
166,Wadi Maliz,TN,36.4681,8.5495,85.66,33,0,4.74,clear sky
167,Staraya Russa,RU,57.9944,31.3608,44.51,87,100,3.36,overcast clouds
168,Lyngseidet,NO,69.5763,20.2189,33.8,76,18,1.03,few clouds
169,Zherdevka,RU,51.8486,41.4606,66.16,71,100,13.78,overcast clouds
170,Shedok,RU,44.2179,40.8487,63.5,60,100,6.2,overcast clouds
171,Luhyny,UA,51.082,28.4006,45.54,91,100,16.67,light rain
172,Danilovka,RU,50.3557,44.1168,66.78,61,100,13.65,overcast clouds
173,Nesna,NO,66.1967,13.0213,52.66,84,100,6.8,light rain
174,Ikornnes,NO,62.3873,6.557,56.91,82,91,7.0,light rain
175,Soke,ML,13.598,-5.9386,84.85,60,85,8.61,overcast clouds
176,Kizner,RU,56.2749,51.508,55.38,86,100,12.17,overcast clouds
177,Sistranda,NO,63.7256,8.834,53.56,78,100,5.28,overcast clouds
178,Oktyabrskoye,RU,43.0645,44.7417,62.74,68,78,6.71,broken clouds
